monkey,rt,coh,correct,trgchoice
1,0.534,0.064,1.0,2.0
1,0.615,0.128,1.0,2.0
1,0.655,0.512,1.0,2.0
1,0.791,0.0,1.0,2.0
1,0.546,0.256,1.0,1.0
1,0.55,0.512,1.0,1.0
1,0.685,0.256,1.0,2.0
1,0.747,0.0,1.0,1.0
1,0.859,0.032,0.0,1.0
1,0.762,0.256,1.0,1.0
1,0.817,0.128,1.0,1.0
1,0.407,0.512,1.0,2.0
1,0.837,0.0,0.0,2.0
1,0.429,0.512,1.0,1.0
1,0.998,0.032,0.0,2.0
1,0.676,0.128,1.0,2.0
1,0.749,0.0,1.0,2.0
1,0.871,0.064,1.0,2.0
1,0.698,0.064,1.0,1.0
1,0.976,0.032,0.0,1.0
1,0.578,0.256,1.0,2.0
1,1.067,0.256,1.0,2.0
1,1.165,0.032,0.0,1.0
1,0.608,0.128,1.0,2.0
1,1.317,0.032,0.0,2.0
1,0.716,0.0,1.0,2.0
1,0.648,0.256,1.0,1.0
1,0.718,0.064,1.0,1.0
1,0.485,0.512,1.0,1.0
1,0.559,0.0,0.0,2.0
1,0.617,0.128,1.0,1.0
1,0.703,0.064,1.0,2.0
1,0.427,0.512,1.0,2.0
1,0.888,0.064,1.0,2.0
1,0.881,0.0,0.0,1.0
1,0.785,0.128,1.0,2.0
1,0.661,0.032,1.0,2.0
1,0.648,0.512,1.0,1.0
1,0.519,0.512,1.0,2.0
1,0.891,0.032,1.0,1.0
1,0.474,0.256,1.0,2.0
1,0.647,0.256,1.0,1.0
1,0.818,0.128,1.0,1.0
1,0.895,0.064,1.0,1.0
1,0.751,0.0,1.0,1.0
1,0.715,0.064,1.0,1.0
1,0.854,0.064,1.0,2.0
1,0.474,0.512,1.0,1.0
1,0.734,0.032,1.0,2.0
1,0.572,0.256,1.0,2.0
1,1.13,0.0,1.0,2.0
1,0.668,0.256,1.0,1.0
1,0.816,0.0,0.0,2.0
1,0.869,0.128,1.0,1.0
1,0.659,0.128,1.0,2.0
1,0.77,0.032,1.0,1.0
1,0.471,0.512,1.0,2.0
1,0.478,0.032,0.0,1.0
1,0.56,0.064,1.0,2.0
1,0.318,0.512,1.0,1.0
1,0.519,0.128,1.0,1.0
1,0.542,0.256,1.0,2.0
1,0.671,0.0,0.0,1.0
1,0.492,0.256,1.0,1.0
1,0.626,0.032,0.0,2.0
1,0.438,0.128,1.0,2.0
1,0.77,0.064,0.0,2.0
1,0.394,0.512,1.0,2.0
1,0.658,0.0,1.0,1.0
1,0.612,0.128,1.0,2.0
1,0.577,0.128,1.0,1.0
1,0.801,0.064,1.0,1.0
1,0.362,0.512,1.0,2.0
1,0.959,0.0,0.0,1.0
1,0.497,0.512,1.0,1.0
1,0.724,0.064,1.0,2.0
1,1.143,0.0,0.0,2.0
1,0.517,0.256,1.0,1.0
1,0.858,0.032,1.0,1.0
1,0.598,0.256,1.0,2.0
1,0.548,0.032,1.0,2.0
1,0.639,0.512,1.0,2.0
1,0.602,0.128,0.0,1.0
1,0.481,0.256,1.0,1.0
1,0.637,0.032,1.0,2.0
1,0.686,0.128,1.0,1.0
1,0.751,0.0,0.0,1.0
1,0.761,0.032,1.0,1.0
1,0.477,0.256,1.0,2.0
1,0.738,0.0,0.0,2.0
1,0.62,0.064,1.0,2.0
1,0.635,0.512,1.0,2.0
1,0.644,0.064,1.0,1.0
1,0.713,0.128,1.0,2.0
1,0.594,0.512,1.0,1.0
1,0.594,0.256,1.0,2.0
1,0.904,0.032,1.0,1.0
1,0.795,0.0,1.0,1.0
1,0.568,0.064,0.0,2.0
1,0.64,0.512,1.0,1.0
1,0.727,0.032,1.0,2.0
1,0.888,0.0,0.0,1.0
1,0.544,0.128,1.0,1.0
1,0.938,0.064,1.0,2.0
1,0.552,0.256,1.0,1.0
1,0.798,0.128,1.0,2.0
1,0.498,0.512,1.0,2.0
1,1.236,0.032,1.0,1.0
1,0.611,0.256,1.0,1.0
1,0.646,0.256,1.0,2.0
1,1.169,0.0,0.0,1.0
1,0.893,0.032,1.0,2.0
1,0.42,0.512,1.0,2.0
1,0.565,0.512,1.0,1.0
1,0.802,0.128,1.0,1.0
1,0.612,0.128,1.0,2.0
1,0.703,0.064,1.0,1.0
1,0.729,0.064,1.0,2.0
1,0.905,0.0,0.0,2.0
1,0.402,0.512,1.0,2.0
1,0.754,0.064,1.0,2.0
1,0.701,0.256,1.0,1.0
1,0.473,0.128,1.0,2.0
1,0.97,0.128,1.0,1.0
1,0.413,0.032,0.0,2.0
1,0.555,0.256,1.0,2.0
1,0.58,0.512,1.0,1.0
1,0.72,0.0,0.0,1.0
1,1.21,0.032,1.0,2.0
1,0.92,0.0,1.0,1.0
1,0.746,0.064,1.0,1.0
1,0.821,0.064,0.0,1.0
1,0.906,0.0,1.0,2.0
1,0.823,0.128,1.0,2.0
1,0.663,0.256,1.0,2.0
1,0.544,0.064,0.0,2.0
1,0.781,0.128,1.0,1.0
1,0.865,0.032,1.0,1.0
1,0.455,0.512,1.0,2.0
1,0.719,0.256,1.0,1.0
1,0.649,0.512,1.0,1.0
1,0.896,0.032,1.0,2.0
1,0.973,0.0,0.0,2.0
1,0.297,0.512,1.0,1.0
1,0.387,0.512,1.0,2.0
1,0.417,0.256,1.0,1.0
1,0.488,0.128,1.0,1.0
1,0.961,0.032,0.0,2.0
1,0.403,0.256,1.0,2.0
1,0.745,0.0,0.0,2.0
1,0.487,0.032,1.0,2.0
1,1.177,0.0,1.0,2.0
1,0.639,0.064,1.0,2.0
1,0.753,0.064,0.0,2.0
1,0.438,0.128,1.0,2.0
1,0.951,0.032,0.0,2.0
1,0.642,0.032,1.0,2.0
1,0.694,0.064,1.0,2.0
1,0.594,0.128,1.0,1.0
1,0.697,0.064,1.0,1.0
1,0.782,0.0,1.0,1.0
1,0.575,0.512,1.0,1.0
1,0.365,0.512,1.0,2.0
1,0.553,0.256,1.0,2.0
1,0.617,0.256,1.0,1.0
1,0.645,0.0,0.0,1.0
1,0.648,0.128,1.0,2.0
1,0.704,0.0,1.0,1.0
1,0.571,0.064,1.0,2.0
1,0.547,0.128,1.0,2.0
1,0.444,0.512,1.0,1.0
1,1.014,0.064,1.0,1.0
1,0.65,0.128,1.0,1.0
1,0.47,0.512,1.0,2.0
1,0.761,0.032,0.0,1.0
1,0.842,0.0,0.0,1.0
1,0.509,0.256,1.0,1.0
1,1.044,0.032,1.0,1.0
1,0.375,0.256,1.0,2.0
1,0.808,0.0,0.0,1.0
1,0.65,0.128,1.0,1.0
1,0.571,0.256,1.0,2.0
1,0.708,0.032,1.0,1.0
1,0.737,0.0,1.0,1.0
1,0.818,0.064,1.0,2.0
1,0.777,0.032,0.0,1.0
1,0.357,0.512,1.0,1.0
1,0.652,0.128,0.0,1.0
1,1.007,0.064,0.0,2.0
1,0.623,0.256,1.0,1.0
1,0.471,0.512,1.0,2.0
1,0.396,0.512,1.0,1.0
1,1.226,0.032,0.0,1.0
1,0.6,0.064,1.0,1.0
1,0.383,0.256,1.0,1.0
1,0.404,0.128,1.0,1.0
1,0.717,0.0,0.0,2.0
1,0.687,0.0,1.0,2.0
1,1.276,0.064,1.0,2.0
1,0.386,0.512,1.0,2.0
1,0.608,0.256,1.0,2.0
1,0.733,0.128,1.0,2.0
1,0.669,0.032,1.0,1.0
1,0.883,0.0,1.0,2.0
1,0.879,0.032,1.0,2.0
1,0.722,0.128,1.0,1.0
1,0.416,0.512,1.0,1.0
1,0.357,0.512,1.0,2.0
1,0.598,0.064,1.0,2.0
1,0.911,0.064,1.0,1.0
1,0.611,0.032,0.0,2.0
1,0.663,0.032,1.0,2.0
1,0.41,0.128,1.0,2.0
1,0.58,0.0,0.0,2.0
1,0.644,0.128,1.0,1.0
1,0.928,0.0,1.0,2.0
1,0.563,0.032,0.0,2.0
1,0.591,0.064,0.0,2.0
1,0.349,0.256,1.0,2.0
1,0.506,0.512,1.0,2.0
1,0.844,0.064,1.0,2.0
1,0.378,0.512,1.0,1.0
1,0.41,0.256,1.0,1.0
1,0.461,0.256,1.0,2.0
1,0.438,0.512,1.0,2.0
1,0.86,0.064,1.0,2.0
1,0.501,0.256,1.0,1.0
1,0.661,0.032,1.0,1.0
1,0.577,0.512,1.0,1.0
1,1.104,0.064,1.0,1.0
1,0.695,0.0,1.0,1.0
1,0.595,0.0,1.0,2.0
1,0.598,0.032,0.0,1.0
1,0.655,0.128,1.0,2.0
1,0.457,0.128,1.0,1.0
1,0.611,0.064,1.0,2.0
1,0.916,0.0,1.0,2.0
1,0.689,0.032,1.0,2.0
1,0.45,0.512,1.0,1.0
1,0.607,0.0,0.0,2.0
1,0.556,0.256,1.0,1.0
1,0.913,0.032,0.0,2.0
1,0.711,0.128,1.0,2.0
1,1.034,0.064,0.0,2.0
1,0.503,0.512,1.0,2.0
1,0.541,0.256,1.0,2.0
1,0.682,0.128,1.0,1.0
1,0.427,0.032,1.0,1.0
1,0.45,0.0,1.0,2.0
1,0.565,0.128,1.0,1.0
1,0.576,0.256,1.0,2.0
1,0.561,0.512,1.0,1.0
1,0.612,0.128,1.0,2.0
1,0.57,0.256,1.0,1.0
1,0.633,0.064,0.0,2.0
1,0.729,0.032,0.0,1.0
1,0.425,0.512,1.0,2.0
1,0.758,0.0,0.0,2.0
1,0.649,0.064,0.0,1.0
1,0.815,0.032,1.0,1.0
1,0.578,0.512,1.0,1.0
1,0.766,0.0,1.0,2.0
1,0.746,0.128,1.0,1.0
1,0.543,0.256,1.0,2.0
1,0.792,0.064,0.0,1.0
1,0.588,0.128,1.0,2.0
1,0.576,0.256,1.0,1.0
1,0.976,0.064,0.0,2.0
1,0.637,0.032,1.0,2.0
1,0.713,0.0,0.0,2.0
1,0.505,0.512,1.0,2.0
